"ISBN","Book-Title","Book-Author","Year-of-Publication","Publisher","Quantity"
"0553268880","The Prince of Tides","Pat Conroy","1987","Bantam Books","81"
"0385008910","Nethergate","Norah Lofts","1973","Bantam Dell Pub Group","49"
"0688042872","The Dinosaur Heresies: New Theories Unlocking the Mystery of the Dinosaurs and Their Extinction","Robert T. Bakker","1986","William Morrow &amp; Company","51"
"0671027107","Lily Of The Valley","Suzanne Strempek Shea","1999","Atria","68"
"0399145869","Deep South (Anna Pigeon Mysteries (Hardcover))","Nevada Barr","2000","Putnam Publishing Group","48"
"0375405429","Italian Fever: A Novel","Valerie Martin","1999","Random House Inc","36"
"0446521582","The Honk and Holler Opening Soon","Billie Letts","1998","Warner Books","81"
"0151002630","The Magician's Assistant","Ann Patchett","1997","Harcourt","28"
"0316666009","1st to Die: A Novel","James Patterson","2001","Little Brown and Company","62"
"0316890197","The Evidence Against Her : A Novel","Robb Forman Dew","2001","Little, Brown","71"
"0446675253","Snow in August","Pete Hamill","1999","Warner Books","88"
"0345451325","The Fall of Reach (Halo)","Eric Nylund","2001","Del Rey Books","54"
"0330284142","Name of the Rose","Umberto Eco","0","Pan Books Ltd","60"
"0345391810","The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback))","Douglas Adams","1995","Ballantine Books","47"
"0140620524","The Adventures of Tom Sawyer (Penguin Popular Classics)","Mark Twain","1994","Penguin Books Ltd","88"
"0312186118","Death in Kenya","Mary Margaret Kaye","1983","St Martins Pr","53"
"0671516922","Trust Me","Jayne Ann Krentz","1995","Pocket","90"
"1586607251","Gideon's Dawn","Michael D. Warden","2003","Promise Press","67"
"0671015206","The Millionaire Next Door","Thomas J. Stanley","1998","Pocket","78"
"0440216540","Before and After","Rosellen Brown","1993","Dell","51"
"0449209598","Murder in the Smithsonian (Capital Crime Mysteries)","Margaret Truman","1990","Fawcett Books","51"
"0140062599","Painter of Signs (King Penguin S.)","R.K. Narayan","1982","Penguin Putnam~trade","63"
"0582349168","Witch, and other stories (The Heritage of literature series)","George Mackay Brown","1977","Longman","62"
"0140041079","Rommel? Gunner Who?","Spike Milligan","1976","Penguin Books Ltd","13"
"0140400117","Rights of Man (Classics S.)","Thomas Paine","1969","Penguin Books Ltd","27"
"0192815466","Persuasion (World's Classics)","Jane Austen","1981","Oxford University Press","72"
"0140431357","Tess of the D'Urbervilles (Penguin Classics)","Thomas Hardy","1978","Penguin Books","83"
"1575664054","The Patient's Guide to Anesthesia: Making the Right Choices","A. J. Hill","1999","Kensington Publishing Corporation","75"
"0451209117","Under Pressure: The Final Voyage of Submarine S-Five","A. J. Hill","2003","New American Library","65"
"0743236777","Under Pressure : The Final Voyage of Submarine S-Five","A. J. Hill","2002","Free Press","72"
"037348481X","Turning Point","Sharon Sala","2002","Silhouette","85"
"0553208314","Guidepost Treasury of Love","Guideposts Magazine","1982","Bantam Books","46"
"0446611867","A Bend in the Road","Nicholas Sparks","2002","Warner Books","30"
"0385336179","Shopaholic Ties the Knot","Sophie Kinsella","2003","Delta","13"
"0972380698","An American Salad","Marie Watts","2003","Turnkey Press","25"
"155054439X","Bachelor brothers' bed &amp; breakfast pillow book","Bill Richardson","1995","Douglas &amp; McIntyre","90"
"060980619X","God Save the Sweet Potato Queens","JILL CONNER BROWNE","2001","Three Rivers Press","71"
"0440900794","The Giver","Lois Lowry","1994","Random House Childrens Pub","53"
"0553560662","Princess of Thieves","Katherine O'Neal","1993","Bantam Books","25"
"0373483880","The Macgregors: Serena - Caine (The Macgregors)","Nora Roberts","1998","Silhouette","80"
"0061042005","Suddenly","Barbara Delinsky","1994","HarperTorch","100"
"0425046117","The House of Mirth","Edith Wharton","1981","Berkley Publishing Group","16"
"8495971631","LA Mujer Habitada","Giaconda Belli","2003","Planeta Pub Corp","49"
"8478082344","Las Chicas Buenas No Toman Postre","R. Meadon","2001","Sirio","16"
"0156619180","Moments of Being: Second Edition","Virginia Woolf","1985","Harcourt","99"
"8476680856","El actor y los demás (Laia/literatura)","Fernando Fernán Gómez","1987","Laia","94"
"8436808452","Anorexia y Bulimia - Trastornos Alimentarios","Rosa Maria Raich","2001","Piramide","76"
"8420634573","Maestro y Margarita, El","Mijail Bulgakov","2000","Alianza","78"
"8423326810","Berlin Alexanderplatz","Alfred Doblin","1999","Destino Ediciones","24"
"8440631480","Depardieu","Marianne Gray","1993","Ediciones B","68"
"0553582755","One Door Away from Heaven","Dean R. Koontz","2002","Bantam Books","43"
"0486282694","Winesburg, Ohio (Dover Thrift Editions)","Sherwood Anderson","1995","Dover Publications","31"
"006101091X","The TV Guide Book of Lists : Revealing Facts, Fascinating Fads, and Strange Phenomena from 50 Years of Television","Amy Paulsen","1998","HarperTorch","51"
"0452268060","How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction)","Julia Alvarez","1992","Plume Books","27"
"0439099404","Adventures of Tom Sawyer","Mark Twain","1999","Scholastic","91"
"0525405224","Superfudge","Judy Blume","1980","Dutton Books","61"
"0671759213","She's Come Undone","Wally Lamb","1993","Pocket Books","96"
"044651652X","The Bridges of Madison County","Robert James Waller","1992","Warner Books","18"
"0312050631","Confessions of a Failed Southern Lady","Florence King","1990","St. Martin's Press","56"
"0452254264","Nineteen Eighty-Four","George Orwell","1983","New Amer Library (Mm)","17"
"0380786052","Midnight Lady","Rosemary Rogers","1997","Avon","89"
"0446364282","Love's Encore","Sandra Brown","1997","Warner Books","32"
"0385337272","The Devil's Banker","CHRISTOPHER REICH","2003","Delacorte Press","63"
"0140291903","Manhattan Memoir","Mary Cantwell","2000","Penguin Books","72"
"0142002267","Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players","Stefan Fatsis","2002","Penguin Books","76"
"0671640925","Curse of the Giant Muffins and Other Washington Maladies","Michael Kinsley","1987","Summit Books","59"
"0425099644","Shallows of Night","Eric Van Listbader","1987","Berkley Pub Group","30"
"0960809600","Peace Agitator: Story of A. J. Muste","Hentoff","1982","A. J. Muste Memorial Institute","11"
"0439368030","Wizards Don't Wear Graduation Gowns (Adventures of the Bailey School Kids, 45)","Debbie Dadey","2002","Scholastic","20"
"0785272984","Walking Wisely: Real Guidance For Life's Journey","Charles, Dr Stanley","2002","Nelson Books","56"
"0060520221","Taming Your Gremlin (Revised Edition): A Surprisingly Simple Method for Getting Out of Your Own Way","Rick Carson","2003","Perennial Currents","49"
"0590443518","Help! I'm a Prisoner in the Library","Eth Clifford","1991","Scholastic","33"
"0440409942","Harris and Me","GARY PAULSEN","1995","Yearling","50"
"0590438069","Fog (Losing Christina)","Caroline B. Cooney","1995","Scholastic","39"
"0380720132","The Mystery of the Cupboard (Indian in the Cupboard)","Lynne Reid Banks","1999","HarperTrophy","40"
"1841952974","I'm Not Scared","Niccolo Ammaniti","2003","Canongate Books","45"
"0440967848","The Outside Shot","WALTER DEAN MYERS","1986","Laure Leaf","59"
"0842329277","Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)","Tim Lahaye","2000","Tyndale House Publishers","47"
"0842343296","The Search (Left Behind: The Kids #9)","Jerry B. Jenkins","2000","Tyndale Kids","10"
"0440439884","Island of the Blue Dolphins","SCOTT O'DELL","1971","Random House Children's Books","47"
"0842343288","Death Strike (Left Behind the Kids)","Jerry Jenkins","2000","Tyndale House Publishers","62"
"0590424165","Sideways Arithmetic from Wayside School","Louis Sachar","1989","Scholastic Paperbacks","90"
"059030271X","Charlotte's Web","E. B. White","1974","Scholastic Paperbacks (T)","76"
"0345339738","The Return of the King (The Lord of the Rings, Part 3)","J.R.R. TOLKIEN","1986","Del Rey","86"
"0440413761","Tucket's Gold (Tuckets Adventures, Book 4)","Gary Paulsen","2001","Yearling Books","100"
"0590461001","The Hitchhiker (Point)","R. L. Stine","1993","Scholastic","81"
"0688149588","Lucy Forever and Miss Rosetree, Shrinks","Susan Richards Shreve","1996","HarperTrophy","25"
"0842343261","The Underground (Left Behind: The Kids #6)","Jerry B. Jenkins","1999","Tyndale House Publishers","21"
"084234327X","Busted! (Left Behind. the Kids, 7)","Jerry Jenkins","2000","Tyndale House Publishers","51"
"0395280060","George and Martha Rise and Shine","James Marshall","1979","Houghton Mifflin","71"
"0590451146","Behind the Lines (Point)","Isabelle Holland","1997","Scholastic","83"
"0064407314","Monster (rpkg)","Walter Dean Myers","2001","Amistad","64"
"0816707979","Five Children and It","Edith Nesbit","1997","Troll Communications","19"
"8401541034","La fuente del unicornio","Theodore Sturgeon","1999","Plaza &amp; Janes Editores, S.A.","25"
"034541036X","A Gift of Hope: How We Survive Our Tragedies","Robert L. Veninga","1996","Ballantine Books","30"
"0517187760","Crossing to Safety: A Novel (Great Reads)","Wallace Stegner","1997","Wings","91"
"0446679593","Suzanne's Diary for Nicholas","James Patterson","2002","Warner Books","92"
"0679441557","Ladder of Years","Anne Tyler","1995","Random House Inc","26"
"1567315658","Playing It by Heart: Taking Care of Yourself No Matter What","Melody Beattie","2003","MJF Books","42"
"0849916518","The Heart Reader","Anonymous","2000","WestBow Press","11"
"1565120310","Daughters of Memory","Janis Arnold","1993","Algonquin Books of Chapel Hill","97"
"156512104X","Right from Wrong","Cindy Bonner","1999","Algonquin Books of Chapel Hill","84"
"0446690295","The Bondwoman's Narrative","Hannah Crafts","2003","Warner Books","44"
"0886774268","Magic's Price (The Last Herald-Mage Series, Book 3)","Mercedes Lackey","1994","Daw Books","29"
"0886773520","Magic's Pawn (The Last Herald-Mage Series, Book 1)","Mercedes Lackey","1994","Daw Books","27"
"0886774012","Magic's Promise (The Last Herald-Mage Series, Book 2)","Mercedes Lackey","1994","Daw Books","67"
"1892065169","Kirith Kirin","Jim Grimsley","2000","Meisha Merlin Pub","81"
"0609808346","Dispatches from the Tenth Circle: The Best of the Onion","ROBERT SIEGEL","2001","Three Rivers Press","89"
"0307157857","Cars and Trucks and Things That Go","RICHARD SCARRY","1998","Golden Books","95"
"0141186151","Fifth Business (Penguin Twentieth-Century Classics)","Robertson Davies","2001","Penguin Books","33"
"0451121902","Long Wait","Mickey Spillane","1952","Signet Book","86"
"0679417796","The Alienist","Caleb Carr","1994","Random House","55"
"0684833662","A Separate Peace (Scribner Classics)","John Knowles","1996","Scribner","74"
"1573225517","High Fidelity","Nick Hornby","1996","Riverhead Books","23"
"0449909336","The Fifties","DAVID HALBERSTAM","1994","Ballantine Books","32"
"1550548913","How to Be a Canadian: Even If You Already are One","Will Ferguson","2003","Douglas &amp; McIntyre","19"
"0679311386","The Lion, the Fox and the Eagle","CAROL OFF","2001","Vintage Canada","80"
"039396647X","War and Peace: The Maude Translation, Backgrounds and Sources, Criticism (Norton Critical Editions)","Leo Tolstoy","1996","W. W. Norton &amp; Company","63"
"0380973650","American Gods: A Novel","Neil Gaiman","2001","William Morrow","77"
"0375414487","Nobody's Perfect: Selected Writings from the New Yorker","Anthony Lane","2002","Alfred A. Knopf","76"
"0316346624","The Tipping Point: How Little Things Can Make a Big Difference","Malcolm Gladwell","2002","Back Bay Books","43"
"0802130208","A Confederacy of Dunces (Evergreen Book)","John Kennedy Toole","1987","Grove Press","87"
"0312988990","American Son","Richard Blow","2002","St. Martin's Press","64"
"0842373195","Let's Roll: Ordinary People, Extraordinary Courage","Lisa Beamer","2002","Tyndale House Publishers","14"
"0043510744","Metamorphosis","David Suzuki","1989","Harpercollins","76"
"0340821191","The White Road","John Connolly","2002","Hodder &amp; Stoughton","89"
"0333906306","Fiddleback: A Novel","J.M. Morris","2002","Pan Macmillan","68"
"0156004992","Heart Conditions","Sara Lewis","1997","Harvest Books","30"
"0156628708","Mrs Dalloway","Virginia Woolf","1990","Harvest Books","16"
"0752844059","The Falls (Inspector Rebus S.)","Ian Rankin","2001","Orion mass market paperback","42"
"0440208459","Burn Marks (V.I. Warshawski Novels (Paperback))","Sara Paretsky","1991","Dell","20"
"0752848224","Resurrection Men (Inspector Rebus S.)","Ian Rankin","2002","Orion mass market paperback","78"
"075285111X","A Question of Blood","Ian Rankin","2003","Orion","23"
"0449208672","The Cater Street Hangman","Anne Perry","1990","Fawcett Books","39"
"0060808241","Gaudy Night","Dorothy L. Sayers","1986","HarperCollins Publishers","15"
"0380725835","Endangered Species (Anna Pigeon Mysteries (Paperback))","Nevada Barr","1998","Avon","60"
"0751514012","The Virgin in the Ice (Cadfael Chronicles: 6)","Ellis Peters","1995","Little Brown and Company","83"
"0751511056","The Leper of St. Giles","Peters","1995","Little Brown and Company","67"
"186941358X","It Helps When You Take the Brake Off","Renee","1998","Random House Uk Ltd","59"
"0886775876","The Legend of Nightfall (Daw Book Collectors)","Mickey Zucker Reichert","1993","Daw Books","69"
"0451458680","Belarus","Lee Hogan","2002","Roc","87"
"0060199652","Prodigal Summer","Barbara Kingsolver","2000","HarperCollins","40"
"034541389X","Flesh and Blood","Jonathan Kellerman","2002","Ballantine Books","38"
"0684871580","Germs : Biological Weapons and America's Secret War","Judith Miller","2001","Simon &amp; Schuster","90"
"0738203548","Man's Search for Ultimate Meaning","Viktor E. Frankl","2000","Perseus Publishing","44"
"0805033203","A Short History of a Small Place: A Novel","T. R. Pearson","1994","Henry Holt &amp; Company","29"
"0316284955","White Oleander : A Novel (Oprah's Book Club)","Janet Fitch","2000","Back Bay Books","53"
"0801855926","Friday","Michel Tournier","1997","Johns Hopkins University Press","48"
"156352600X","The Coffeehouse Investor: How to Build Wealth, Ignore Wall Street and Get on With Your Life","Bill Schultheis","1999","Longstreet Press","14"
"0679427651","Chic Simple: Scarves (Chic Simple Components)","Kim Johnson Gross","1993","Alfred A. Knopf","46"
"0345412214","The Last Don","MARIO PUZO","1997","Ballantine Books","19"
"0345441702","The Sicilian","MARIO PUZO","2001","Ballantine Books","62"
"0451147367","The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man","Stephen King","1991","New Amer Library","100"
"0595168442","Cigar Box","Wilbur Witt","2001","Writers Club Press","48"
"044041668X","Ghost Boy","Iain Lawrence","2002","Laurel-Leaf Books","25"
"0451170539","The Fantastic Adventures of Robin Hood","Martin H. Greenberg","1991","New Amer Library","80"
"0375501371","A Widow for One Year : A Novel","JOHN IRVING","1998","Random House","70"
"006447335X","Year of the Griffin","Diana Wynne Jones","2001","HarperTrophy","38"
"0316155101","Coma: A Novel","Robin Cook","1977","Little Brown &amp; Co","94"
"0312283709","Running with Scissors","Augusten Burroughs","2002","St. Martin's Press","69"
"0060987529","Confessions of an Ugly Stepsister : A Novel","Gregory Maguire","2000","Regan Books","81"
"0312951426","The Ice House","Minette Walters","1994","St. Martin's Press","92"
"0312953615","The Sculptress (Sculptress)","Minette Walters","1996","St. Martin's Press","69"
"0671567829","The Bookman's Wake (Cliff Janeway Novels (Paperback))","John Dunning","1996","Pocket Star","14"
"0670820555","Spy Catcher: The Candid Autobiography of a Senior Intelligence Officer","Peter Wright","1987","Penguin USA","85"
"0553270931","Still Life with  Woodpecker","TOM ROBBINS","1984","Bantam","13"
"0449241114","Crystal Cave","Mary Stewart","1982","Fawcett Books","17"
"0394561236","Empire","Gore Vidal","1990","Book Sales","80"
"0375703764","House of Leaves","Mark Z. Danielewski","2000","Pantheon Books","94"
"0553092626","Playing for the Ashes","Elizabeth George","1994","Bantam Dell Pub Group","24"
"0812545133","The Broken Sword: The Return of King Arthur","Molly Cochran","1998","Tor Books","18"
"0446523321","The Simple Truth","David Baldacci","1998","Warner Books Inc","32"
"0441004164","Outcast of Redwall (Redwall, Book 8)","Brian Jacques","1997","Ace Books","94"
"0066620996","Good to Great: Why Some Companies Make the Leap... and Others Don't","Jim Collins","2001","HarperBusiness","66"
"0553277472","Zen and the Art of Motorcycle Maintenance: An Inquiry into Values","ROBERT PIRSIG","1984","Bantam","75"
"0385494602","The Green","Troon McAllister","2000","Main Street Books","67"
"0345433106","The Syndrome","John Case","2002","Fawcett Books","94"
"0345443020","Perdido Street Station","China Mieville","2001","Del Rey Books","90"
"068487217X","Angelas Ashes: A Memoir","Frank McCourt","1999","Scribner","11"
"0684853159","The Wasp Factory: A Novel","Iain Banks","1998","Simon &amp; Schuster","43"
"1573228281","A Gesture Life","Chang-Rae Lee","2000","Riverhead Books","43"
"0446608262","The Lion's Game","Nelson DeMille","2000","Warner Books","85"
"0385503970","The Master of Rain","TOM BRADBY","2002","Doubleday","10"
"0316120324","I Don't Want to Go to Jail : A Novel","Jimmy Breslin","2002","Little, Brown","42"
"0440214432","Pronto","Elmore Leonard","1995","Dell","61"
"0440225779","The Uncanny","Andrew Klavan","1998","Dell Publishing Company","94"
"0385501676","You Are Not a Stranger Here","Adam Haslett","2002","Nan A. Talese","64"
"3446180850","Die Insel des vorigen Tages.","Umberto Eco","1999","Carl Hanser","70"
"0312242735","Vincent Price: A Daughter's Biography","Victoria Price","1999","St Martins Pr","59"
"0440935741","The High King","Lloyd Alexander","1988","Dell Publishing Company","79"
"0380804557","Stardust","Neil Gaiman","2003","Avon","59"
"3257229739","Tsugumi.","Banana Yoshimoto","1997","Diogenes Verlag","44"
"0099245027","The Testament","John Grisham","1999","Trafalgar Square","82"
"0970880812","Just Like Your Daddy","D. E. Rogers","2002","Invincible Books","41"
"0595256775","Scooter and the Galactic Starship","Douglas R. Robinson","2002","Writer's Showcase Press","21"
"0741412780","The Great Pretender","Millenia Black","2002","Infinity Publishing (PA)","58"
"0684855380","My Sister from the Black Lagoon : A Novel of My Life","Laurie Fox","1999","Simon &amp; Schuster","29"
"0525946233","The Darwin Awards II: Unnatural Selection","Wendy Northcutt","2001","Dutton Books","98"
"0399513000","A Paler Shade of White: The History of White People in America - Volume II","Martin Mull","1986","Cliffs Notes","75"
"0425161617","The Accidental Tourist","Anne Tyler","1998","Berkley Publishing Group","64"
"0140149295","The Sixteenth Round: From Number 1 Contender To #45472","Rubin Carter","1999","Penguin Books","55"
"0553565028","Praetorian","Thomas Gifford","1994","Bantam Books","40"
"0375410848","True History of the Kelly Gang","Peter Carey","2001","Alfred A. Knopf","92"
"0505520680","Ring of Fire","Cinammon Burke","1995","Love Spell","84"
"0373710348","Beneath A Texas Sky (Count On A Cop) (Harlequin Superromance, No. 1034)","Rebecca Winters","2002","Harlequin","74"
"0451115457","Banners of Silk","Rosalind Laker","1982","New Amer Library (Mm)","22"
"0373079710","Galahad In Blue Jeans (Way Out West) (Silhouette Intimate Moments, 971)","Sara Orwig","1999","Silhouette","28"
"0861782356","Little Women","Louisa May Alcott","0","Octopus Publising Group Plc","31"
"0515097039","Funny, Jonas: You Don't Look Dead","Mary McCullen","1988","Jove Books","97"
"0553560247","Dying for Chocolate (Culinary Mysteries (Paperback))","DIANE MOTT DAVIDSON","1993","Bantam","79"
"0836135474","Beyond the Golden Hills and Other Stories","Anne L. Squire-Buresh","1991","Herald Press (PA)","81"
"0312974221","Between Husbands &amp; Friends","Nancy Thayer","2001","St. Martin's Paperbacks","34"
"0345416600","Dave Barry Slept Here","Dave Barry","1997","Ballantine Books","98"
"0684856476","The Rum Diary : A Novel","Hunter S. Thompson","1999","Simon &amp; Schuster","28"
"0800757734","Welcome to the Funny Farm: The All-True Misadventures of a Woman on the Edge","Karen Scalf Linamen","2001","Revell","43"
"0887309100","The Dilbert Future: Thriving on Business Stupidity in the 21st Century","Scott Adams","1998","HarperBusiness","66"
"1593080255","The Picture of Dorian Gray","Oscar Wilde","2003","Barnes &amp; Noble Books-Imports","82"
"8433969978","El Libro de Las Ilusiones","Paul Auster","2003","Anagrama","67"
"1400041988","Pnin","VLADIMIR NABOKOV","2004","Everyman's Library","46"
"8478887342","El Ultimo Encuentro","Sandor Marai","2003","Planeta Pub Corp","15"
"8433970143","La Ceremonia del Masaje","Alan Bennett","2003","Anagrama","20"
"0151010633","Q","Luther Blissett","2004","Harcourt","45"
"9504604730","Don Quijote de La Mancha","Miguel De Cervantes Saavedra","1998","Santillana S.A.","63"
"8466612815","Estupidos Hombres Blancos","Michael Moore","2003","Ediciones B","59"
"0802714358","Let Me Go","Helga Schneider","2004","Walker &amp; Company","86"
"9500720418","Eva Luna - Bolsillo","Isabel Allende","2001","Sudamericana","48"
"950491036X","La Sombra del Viento","Carlos Ruiz Zafon","2003","Planeta","76"
"8493058777","Palestina, Ocupacio I Resistencia: Manual Practic Sobre La Questio Palestina I El Conflicte Arabo-Israelia","Salah Jamal","2001","Edicions El Jonc","74"
"8488471009","Viva el mal! Viva el capital!","Santiago Alba Rico","1992","Virus","47"
"8432021903","Los Renglones Torcidos De Dios","Luca de Tena","0","Editorial Planeta, S.A.","54"
"8428210675","Cultivo de Plantas Medicinales Aromaticas y Condimenticias","Fernandez","1997","Omega","45"
"0340697083","Feng Shui: A Complete Guide (Complete Guides)","Richard Craze","1997","Trafalgar Square Publishing","37"
"2742739351","Les Soldats de Salamine","Javier Cercas","2002","Actes Sud","78"
"0671008668","J.D. Salinger's Franny and Zooey","J. D. Salinger","1972","Monarch Notes","49"
"9509009059","Nueve Cuentos","J. D. Salinger","2004","Edhasa","18"
"8483108208","Emmanuelle","Emmanuelle Arsan","2002","Tusquets","88"
"8479018682","Cuentos Para Pensar / Stories To Think About","Jorge Bucay","1997","Alfaguara/Santillana USA","84"
"8408020137","Mujercismas","Terenci Moix","1998","Editorial Planeta, S.A. (Barcelona)","77"
"8467004665","Una Historia De Amor Como Otra Cualquiera","Lucia Etxebarria","2003","Espasa Calpe Mexicana, S.A.","10"
"0312154542","Delta Style: Eve Wasn't a Size 6 and Neither Am I","Delta Burke","1998","St. Martin's Press","85"
"0064408639","The Austere Academy (A Series of Unfortunate Events, Book 5)","Lemony Snicket","2000","HarperCollins","15"
"0954290100","Brideshead Regained","Michael Johnston","2003","Akanos","55"
"0553295772","Extreme Measures","Michael Palmer","1992","Bantam Books","45"
"0312858957","The Blind Mirror","Christopher Pike","2003","Tor Books","69"
"0345330129","The Door into Summer","Robert A. Heinlein","1993","Del Rey Books","68"
"0743410246","Lesser Evil (Star Trek Deep Space Nine: Mission Gamma, Book 4)","Robert Simpson","2002","Star Trek","40"
"0743445643","Cathedral (Star Trek Deep Space Nine: Mission Gamma, Book 3)","Michael A. Martin","2002","Star Trek","87"
"0743445627","This Gray Spirit (Star Trek Deep Space Nine: Mission Gamma, Book 2)","Heather Jarman","2002","Star Trek","82"
"0743445600","Twilight (Star Trek Deep Space Nine: Mission Gamma, Book 1)","David R. George III","2002","Star Trek","74"
"0812575717","Ender's Shadow","Orson Scott Card","2000","Tor Books","52"
"0671026356","The Evil That Men Do (Buffy the Vampire Slayer)","Nancy Holder","2000","Simon Spotlight Entertainment","19"
"0743427602","The Wisdom of War (Buffy the Vampire Slayer)","Christopher Golden","2002","Simon Spotlight Entertainment","48"
"0671039288","Sins of the Father (Buffy the Vampire Slayer)","Christopher Golden","1999","Simon Spotlight Entertainment","41"
"0671026364","Resurrecting Ravana  (Buffy the Vampire Slayer)","Ray Garton","2000","Simon Spotlight Entertainment","28"
"0671526103","The Return (Star Trek)","William Shatner","1996","Pocket Books","74"
"0671021257","Preserver (Star Trek)","William Shatner","2000","Star Trek","41"
"067100882X","Dark Victory (Star Trek)","William Shatner","1999","Star Trek","91"
"0671008781","Spectre (Star Trek)","William Shatner","1998","Star Trek","82"
"2253007900","Gatsby le Magnifique","F. Scott Fitzgerald","1976","Livre de Poche","44"
"0671874349","LIFE AFTER GOD : LIFE AFTER GOD","Douglas Coupland","1995","Washington Square Press","95"
"0394838475","The Phantom of the Opera (Bullseye Chillers)","Gaston Leroux","1993","Random House Children's Books","35"
"0743439775","Flight","Jan Burke","2002","Pocket","77"
"1567311199","The Haunted Omnibus","Ed Laing","1997","MJF Books","100"
"0590482378","Stacey and the Bad Girls (Baby-Sitters Club, 87)","Ann M. Martin","1995","Scholastic","70"
"0590482238","Mary Anne Breaks the Rules (Baby-Sitters Club, 79)","Ann M. Martin","1994","Scholastic Paperbacks","19"
"0451179706","Due Diligence","A. Michael Kahn","1996","Onyx Books","51"
"0449219410","Skin Tight","Carl Hiaasen","1990","Fawcett Books","42"
"0446609781","Beneath the Skin","Nicci French","2001","Warner Books","70"
"0679454446","Lucky You","Carl Hiaasen","1997","Random House Inc","13"
"051512608X","The Reef","Nora Roberts","1999","Jove Books","58"
"0373262329","Deadly Practice","Christine Green","1997","Worldwide Library","47"
"0451124383","Man From St Petersburg","Ken Follett","1983","Penguin Putnam~mass","72"
"1565122208","Lightning Song","Lewis Nordan","1998","Algonquin Books of Chapel Hill","96"
"0312978332","Name Dropping : What If Two Very Different Women Had The Same Exact Name?","Jane Heller","2001","St. Martin's Press","66"
"0345294459","Chameleon","William Diehl","1988","Ballantine Books","44"
"0451408888","The Trials of Tiffany Trott","Isabel Wolff","1999","Onyx Books","68"
"0671524968","LUCKY","Judy Collins","1986","Pocket","81"
"0515115487","Royal Invitation","Julia Fenton","1995","Jove Books","76"
"1563841134","The Basic Steps to Successful Homeschooling","Vicki A. Brady","1996","Vital Issues Press","89"
"0060008776","Pagan Babies","Elmore Leonard","2002","HarperTorch","96"
"0553574671","Prime Cut","Diane Mott Davidson","2000","Bantam Books","99"
"0061057819","'48","James Herbert","1998","Eos","62"
"0761513779","The Homeschooling Book of Answers : The 88 Most Important Questions Answered by Homeschooling's Most Respected Voices","LINDA DOBSON","1998","Prima Lifestyles","52"
"1565078241","What Makes a Man Feel Loved","Bob Barnes","1998","Harvest House Publishers","25"
"0449908119","Angry Men, Passive Men: Understanding the Roots of Men's Anger and How to Move Beyond It","Marvin Allen","1994","Ballantine Books","37"
"0312956126","The Scold's Bridle","Minette Walters","1995","St. Martin's Press","72"
"0385334729","Her Father's House","BELVA PLAIN","2002","Delacorte Press","22"
"0805044698","The Day","Douglas Hobbie","1996","Henry Holt &amp; Co","78"
"075050059X","The Sins of Eden","Iris Gower","1992","Ulverscroft Large Print","82"
"0140165525","The Indoor Boy","Antony Sher","1992","Penguin Books Ltd","32"
"3257231393","Sanft entschlafen. Commissario Brunettis sechster Fall.","Donna Leon","2000","Diogenes Verlag","88"
"3453149874","Das Dilbert-Prinzip.","Scott Adams","1998","Heyne","66"
"9681500601","Platero y Yo","Juan Ramon Jimenez","1997","Editores Mexicanos Unidos, S.A.","21"
"8420604690","Mas Cuentos de Los Viudos Negras","Isaac Asimov","1993","Alianza","53"
"8478082875","Cuentos de hadas retorcidos","A.J. Jacobs","2001","Sirio","67"
"842063977X","Bueno Para Comer","Marvin Harris","2000","Alianza","81"
"846660684X","Preguntale a Platon","Lou Marinoff","2003","Ediciones B","37"
"8472231496","El Hombre Anumerico","John Allen Paulos","2002","Tusquets","13"
"8483140012","Donde El Corazon De Lleve","Susana Tamaro","2003","Planeta Pub Corp","43"
"846630620X","Vida Sin Condiciones","Deepak Chopra","2002","Santillana USA Publishing Company","71"
"8420639508","Canibales y Reyes","Marvin Harris","1998","Alianza","10"
"8475307825","Obras Completas De Agatha Christie (Grandes Maestros Del Crimen Y Misterio)","Christie","1989","Lectorum Pubns (J)","64"
"067088300X","The Girls' Guide to Hunting and Fishing","Melissa Bank","1999","Viking Books","69"
"0786869216","The Pleasure of My Company: A Novel","Steve Martin","2003","Hyperion","73"
"0670878103","A New Song (The Mitford Years)","Jan Karon","1999","Viking Books","10"
"0446528382","Jack: Straight from the Gut","Jack Welch","2001","Warner Business Books","82"
"0943233437","Random Acts of Kindness","Conari Press","1993","Conari Press","94"
"0375727345","House of Sand and Fog","Andre Dubus III","2000","Vintage Books","55"
"0156001454","Winterdance: The Fine Madness of Running the Iditarod","Gary Paulsen","1995","Harvest Books","24"
"3440066738","Traumberufe rund ums Pferd.","Ria Fehlau","1993","Franckh-Kosmos Verlag","58"
"0446608890","Saving Faith","David Baldacci","2000","Warner Vision","67"
"0061059137","Blade","Mel Odom","1998","HarperEntertainment","61"
"059044316X","The Cheerleader (Point Thriller)","Caroline B. Cooney","1991","Scholastic Paperbacks (Mm)","99"
